,id,level,rok,gdp_ppp_mean,gdp_ppp_lower,gdp_ppp_upper,gdp_usd_mean,gdp_usd_lower,gdp_usd_upper
3296,44,Country,1980,3849.27975121363,1412.86131244167,9100.79484787298,1070.2780302248,804.639790892194,1480.0993653535
3297,44,Country,1981,3943.28577963104,1472.61706418761,9243.58176390549,1093.78628611424,828.959119550909,1503.37186459088
3298,44,Country,1982,3985.88119334093,1484.9892855802,9288.37838855546,1103.78254553502,841.772571167796,1509.37233927878
3299,44,Country,1983,3949.1046956467,1459.34309658165,9175.37321553379,1093.0389176674,836.289861596102,1496.31132779316
3300,44,Country,1984,3986.85914406726,1498.7688278878,9150.27183461601,1101.74487108817,844.987881062319,1508.5865157806
3301,44,Country,1985,4004.10810369852,1528.29560684287,9110.83861492498,1105.08395174226,845.861740042298,1507.7389612643
3302,44,Country,1986,4107.08656965099,1598.41626627606,9250.18646264164,1130.67763448177,866.416648732171,1537.48180513719
3303,44,Country,1987,4009.99828225739,1548.6031723192,9043.65990125222,1104.30580124541,847.460176150775,1504.96421763339
3304,44,Country,1988,3892.15701696257,1492.99766454489,8748.28107159324,1072.56604084134,823.319935864667,1465.4943223872
3305,44,Country,1989,3915.37084756945,1530.39132576251,8702.65424690498,1077.4742121031,828.485723720308,1467.20921740931
3306,44,Country,1990,3470.02763685156,1317.68492378005,7723.12287733758,960.714091832993,729.459561385248,1319.34778573569
3307,44,Country,1991,3125.58015398891,1180.26813663595,6761.69543049054,893.576933943622,676.712056883866,1232.85060352461
3308,44,Country,1992,2617.13972583349,1136.07275228749,5160.39378246569,827.312586726293,612.023909550916,1128.12952583796
3309,44,Country,1993,2236.96642633049,1113.81951434314,3934.86526483907,788.256248601944,560.626768126664,1048.51637287912
3310,44,Country,1994,2429.93688619259,1290.54232290624,4116.11462910093,872.572768876951,617.689428231838,1120.62671436868
3311,44,Country,1995,2826.19050445849,1781.60945910721,4301.64225857895,1039.89584306163,790.728836142298,1274.58234459994
3312,44,Country,1996,4706.74132805308,3648.70846039922,6275.066017783,1729.21489841379,1572.41700397035,1942.06826823909
3313,44,Country,1997,6006.49152066656,5046.53579901081,7463.72005103092,2281.20524640502,2150.79059576095,2384.88096833202
3314,44,Country,1998,6671.35139401098,5176.57647854676,8229.32771882704,2632.83278068629,2501.25251800573,2755.89314661977
3315,44,Country,1999,7289.55696524138,5806.89759413305,8753.3058404639,2887.53064041851,2741.07477538658,3006.47527718773
3316,44,Country,2000,7510.66422675003,5924.49540094974,8832.41697135087,3028.82441673158,2891.77533140859,3161.66511312533
3317,44,Country,2001,7703.2081199083,6156.12364913738,8900.66055300891,3120.17679036559,3017.70909857985,3236.65740085955
3318,44,Country,2002,8070.591359592,6505.75839499939,9195.97219464674,3276.80624756212,3176.93365959567,3394.37334894071
3319,44,Country,2003,8338.68461957153,6727.89201129263,9355.26140916375,3403.22519048593,3305.30642890903,3520.41839085866
3320,44,Country,2004,8828.1012477759,7271.80167446502,9721.93281382118,3612.82084095108,3509.43956471458,3733.18944322782
3321,44,Country,2005,9307.42920317457,7771.14487220784,10256.0596799118,3813.44622911183,3722.67094669547,3876.56850787832
3322,44,Country,2006,9944.37453290332,8835.09883267362,10769.9887405646,4022.59596536696,3938.17773708295,4076.39285126438
3323,44,Country,2007,10575.5754989923,9649.40271671576,11355.4466568246,4264.12008978802,4188.81529359669,4308.36918883047
3324,44,Country,2008,11180.6153661908,10357.7212083298,11971.8113551354,4508.29608779803,4438.9245953646,4546.39482864517
3325,44,Country,2009,11072.503750789,10440.1654290582,11741.5364229498,4426.81424407779,4423.87027487149,4430.22235429319
3326,44,Country,2010,11234.57913978,10505.9989012528,11942.9792118159,4501.0016933467,4500.62137238962,4501.42023956686
3327,44,Country,2011,11453.4250626709,10464.3304690122,12193.356551226,4598.27310619161,4595.91699044027,4599.99208963655
3328,44,Country,2012,11518.7139357628,10339.1583514969,12317.5844408763,4632.86247347196,4631.32086962511,4634.70625083695
3329,44,Country,2013,11959.5348618578,10569.2535128033,12899.6406507513,4825.51291356471,4823.68762993253,4827.96807426957
3330,44,Country,2014,12210.1354292338,10654.2947229911,13305.1709886543,4965.66963068731,4964.13177084918,4967.41628270813
3331,44,Country,2015,12794.207087602,10969.3009579775,13971.0553654158,5197.91108721721,5196.23273901784,5199.91938683639
3332,44,Country,2016,13338.2382162695,11222.4348279151,14693.6398047486,5429.74874842901,5428.15357432669,5431.59615103881
3333,44,Country,2017,13918.1110397021,11585.6535805117,15363.4604509406,5658.90213206186,5657.01130179767,5660.50849586309
3334,44,Country,2018,14545.2070013449,12011.2921556336,16085.1786859375,5920.26280903828,5918.9663473364,5921.81734650969
3335,44,Country,2019,15062.3419745414,12404.5080403155,16657.4456468263,6117.11563576582,6106.10197244654,6125.17594258418
3336,44,Country,2020,14283.1914957054,11762.8429927636,15795.7830465582,5800.68718229171,5790.24323788223,5808.33054253378
3337,44,Country,2021,13841.5179111903,11393.4482474715,15325.4239994896,5621.35343306933,5611.23237311281,5628.7604915758
3338,44,Country,2022,13999.9587268454,11536.8107481339,15535.0460946667,5685.84559084096,5541.27569742906,5811.07408945203
3339,44,Country,2023,14152.1601521013,11642.6642254374,15783.7004329307,5747.76041484834,5509.80424924177,5950.55517249425
3340,44,Country,2024,14289.5487299304,11708.8627643185,16180.8648882247,5803.66052352233,5491.59146135712,6103.56830620249
3341,44,Country,2025,14421.5358535285,11757.9487633875,16443.8519183273,5857.33920110692,5464.39415848079,6221.51008176663
3342,44,Country,2026,14546.8492041597,11800.0778622068,16705.8358116401,5908.31612777,5451.64977139446,6343.38881466265
3343,44,Country,2027,14705.9794380611,11893.0177589713,17059.1894132602,5973.06919387171,5466.8854304798,6514.81738423236
3344,44,Country,2028,14872.7402018812,11971.0442028782,17384.2393904419,6040.86759872895,5448.75117289195,6671.52253107381
3345,44,Country,2029,15053.4407973442,12026.1763049638,17762.3467615448,6114.29074114579,5445.19577158784,6811.99674851235
3346,44,Country,2030,15239.856255427,12069.6592504636,18155.2715606345,6190.07234804257,5447.19217179569,6952.32785183755
3347,44,Country,2031,15425.8503365058,12147.6425697645,18546.0655301965,6265.71194118936,5416.11308413745,7113.89675986125
3348,44,Country,2032,15624.0630935794,12242.4231927384,18971.1119673264,6346.36259786957,5415.29400761068,7294.26500976761
